codiUp;superficieRealSol;estatUrbanisticDescription;comercialitzacio;dretPropietat;codiMunicipi;nomMunicipi;descripcioActuacio;COD_CLAS;X;Y;"Total valor cadastral
"
280;1652;Sòl inactiu;FALSO;VERDADERO;8056;CASTELLDEFELS;Campus Universitari;SNU;414721,0006;4570081,936;1652
22247;10352,1;Sòl inactiu;FALSO;VERDADERO;43155;TORTOSA;Pol. Industrial Catalunya Sud;SNU;297478,7608;4515253,544;10352,1
24732;4105,75;Sòl inactiu;FALSO;VERDADERO;8262;SANT VICENÇ DE CASTELLET;Can Cases;SNU;403916,1474;4613051,742;4105,75
24377;470,57;Sòl inactiu;FALSO;VERDADERO;25217;TÀRREGA;Plans d'Ofegat;SNU;346255,0017;4614346,147;470,57
24729;2158,68;Sòl inactiu;FALSO;VERDADERO;8061;CASTELLGALÍ;Can Cases;SNU;403256,7987;4613414,847;2158,68
25033;201;En construcció;FALSO;VERDADERO;8015;BADALONA;Barri Sant Roc;SUC;435531,3173;4587451,926;201
26870;1125,5;Sòl inactiu;FALSO;VERDADERO;17002;AIGUAVIVA;Nou sector industrial (entorn aeroport);SNU;481795,8966;4639739,169;1125,5
25509;524,29;Sòl edificat;FALSO;VERDADERO;8307;VILANOVA I LA GELTRÚ;el Llimonet;SUC;393130,2815;4565227,597;524,29
27009;10633,95;Sòl inactiu;FALSO;VERDADERO;8113;MANRESA;Torre de Santa Caterina;SNU;401902,7936;4618763,677;10633,95
5283;32318,15;Sòl inactiu;FALSO;VERDADERO;25048;BELL-LLOC D'URGELL;les Vinyes velles;SNU;314069,8301;4611839,279;32318,15
1130;195,93;Sòl inactiu;FALSO;VERDADERO;17141;PUIGCERDÀ;l'Avinguda del Segre;;412262,0848;4698427;195,93
22154;12240,14;Sòl inactiu;FALSO;VERDADERO;25207;SOLSONA;la Farinera;SNU;377693,0024;4650511,663;12240,14
21449;14045,1;Sòl net totalment urbanitzat;VERDADERO;VERDADERO;43094;MÓRA LA NOVA;el Molló;SUD;303841,6058;4549385,49;14045,1
25294;1626,15;Sòl edificat;FALSO;VERDADERO;8019;BARCELONA;Governador;SUC;431139,9078;4588387,29;1626,15
6043;2495;Sòl net totalment urbanitzat;FALSO;VERDADERO;43148;TARRAGONA;Riuclar;;351485,0639;4555715,079;2495
1154;2589,9;Sòl inactiu;FALSO;VERDADERO;8305;VILAFRANCA DEL PENEDÈS;les Bassetes;SNU;391878,2889;4578795,752;2589,9
